imdb_code,name,year,world_collection,int_collection,dom_collection,url
tt3385516,X-Men: Apocalypse,2016,543934105,388491616.0,155442489.0,https://www.boxofficemojo.com/title/tt3385516/?ref_=bo_gr_ti
tt2267968,Kung Fu Panda 3,2016,521170825,377642206.0,143528619.0,https://www.boxofficemojo.com/title/tt2267968/?ref_=bo_gr_ti
tt3783958,La La Land,2016,448864344,297762541.0,151101803.0,https://www.boxofficemojo.com/title/tt3783958/?ref_=bo_gr_ti
tt0803096,Warcraft,2016,439048914,391683624.0,47365290.0,https://www.boxofficemojo.com/title/tt0803096/?ref_=bo_gr_ti
tt4196776,Jason Bourne,2016,415484914,253050504.0,162434410.0,https://www.boxofficemojo.com/title/tt4196776/?ref_=bo_gr_ti
tt3416828,Ice Age: Collision Course,2016,408754975,344691967.0,64063008.0,https://www.boxofficemojo.com/title/tt3416828/?ref_=bo_gr_ti
tt1628841,Independence Day: Resurgence,2016,389681935,286537649.0,103144286.0,https://www.boxofficemojo.com/title/tt1628841/?ref_=bo_gr_ti
tt5311514,Your Name.,2016,357986087,352968841.0,5017246.0,https://www.boxofficemojo.com/title/tt5311514/?ref_=bo_gr_ti
tt0918940,The Legend of Tarzan,2016,356700357,230057296.0,126643061.0,https://www.boxofficemojo.com/title/tt0918940/?ref_=bo_gr_ti
tt1985949,The Angry Birds Movie,2016,352333929,244824563.0,107509366.0,https://www.boxofficemojo.com/title/tt1985949/?ref_=bo_gr_ti
tt1679335,Trolls,2016,346864886,193157822.0,153707064.0,https://www.boxofficemojo.com/title/tt1679335/?ref_=bo_gr_ti
tt2660888,Star Trek Beyond,2016,343471816,184623476.0,158848340.0,https://www.boxofficemojo.com/title/tt2660888/?ref_=bo_gr_ti
tt2034800,The Great Wall,2016,334933831,289393001.0,45540830.0,https://www.boxofficemojo.com/title/tt2034800/?ref_=bo_gr_ti
tt3110958,Now You See Me 2,2016,334897606,269822066.0,65075540.0,https://www.boxofficemojo.com/title/tt3110958/?ref_=bo_gr_ti
tt3065204,The Conjuring 2,2016,320392818,217922810.0,102470008.0,https://www.boxofficemojo.com/title/tt3065204/?ref_=bo_gr_ti
tt2592614,Resident Evil: The Final Chapter,2016,312242626,285412558.0,26830068.0,https://www.boxofficemojo.com/title/tt2592614/?ref_=bo_gr_ti
tt5074352,Dangal,2016,303723636,291331875.0,12391761.0,https://www.boxofficemojo.com/title/tt5074352/?ref_=bo_gr_ti
tt1355644,Passengers,2016,303144152,203129453.0,100014699.0,https://www.boxofficemojo.com/title/tt1355644/?ref_=bo_gr_ti
tt2567026,Alice Through the Looking Glass,2016,299457024,222415643.0,77041381.0,https://www.boxofficemojo.com/title/tt2567026/?ref_=bo_gr_ti
tt1935859,Miss Peregrine's Home for Peculiar Children,2016,296482446,209239612.0,87242834.0,https://www.boxofficemojo.com/title/tt1935859/?ref_=bo_gr_ti
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,245623848,163572247.0,82051601.0,https://www.boxofficemojo.com/title/tt3949660/?ref_=bo_gr_ti
tt3263904,Sully,2016,240797623,115727590.0,125070033.0,https://www.boxofficemojo.com/title/tt3263904/?ref_=bo_gr_ti
tt2094766,Assassin's Creed,2016,240697856,186049908.0,54647948.0,https://www.boxofficemojo.com/title/tt2094766/?ref_=bo_gr_ti
tt4846340,Hidden Figures,2016,236225193,66617906.0,169607287.0,https://www.boxofficemojo.com/title/tt4846340/?ref_=bo_gr_ti
tt1289401,Ghostbusters,2016,229147509,100796935.0,128350574.0,https://www.boxofficemojo.com/title/tt1289401/?ref_=bo_gr_ti
tt3062096,Inferno,2016,220021259,185677685.0,34343574.0,https://www.boxofficemojo.com/title/tt3062096/?ref_=bo_gr_ti
tt1489889,Central Intelligence,2016,216972543,89531672.0,127440871.0,https://www.boxofficemojo.com/title/tt1489889/?ref_=bo_gr_ti
tt1473832,Bridget Jones's Baby,2016,211952420,187700000.0,24252420.0,https://www.boxofficemojo.com/title/tt1473832/?ref_=bo_gr_ti
tt2674426,Me Before You,2016,208314186,152069111.0,56245075.0,https://www.boxofficemojo.com/title/tt2674426/?ref_=bo_gr_ti
tt3300542,London Has Fallen,2016,205754447,143230187.0,62524260.0,https://www.boxofficemojo.com/title/tt3300542/?ref_=bo_gr_ti
tt2543164,Arrival,2016,203388186,102842047.0,100546139.0,https://www.boxofficemojo.com/title/tt2543164/?ref_=bo_gr_ti
tt3691740,The BFG,2016,195243411,139759641.0,55483770.0,https://www.boxofficemojo.com/title/tt3691740/?ref_=bo_gr_ti
tt4591310,The Monkey King 2,2016,193678298,192968316.0,709982.0,https://www.boxofficemojo.com/title/tt4591310/?ref_=bo_gr_ti
tt4651520,Bad Moms,2016,183936074,70678777.0,113257297.0,https://www.boxofficemojo.com/title/tt4651520/?ref_=bo_gr_ti
